"ID2","LONDD","LATDD","ELEVATION","Tann"
689,-56.7,52.867,221,NA
690,-56.383,52.733,78,NA
691,-56.667,52.6,135,NA
692,-56.183,52.6,73,NA
693,-56.667,52.417,235,NA
694,-57.033,52.4,375,NA
695,-57.367,52.5,337,NA
696,-57.817,52.583,406,NA
697,-57.717,52.367,380,NA
698,-57.45,52.133,357,NA
699,-57.55,52.2,371,NA
700,-57.433,52.2,379,NA
701,-57.867,52.083,319,NA
702,-57.833,52.083,319,NA
703,-57.233,51.5,43,NA
704,-56.75,51.583,195,NA
705,-138.383,68.383,500,-115
706,-92.107,48.165,374,NA
707,-74.204,41.239,223,NA
708,-74.038,41.391,380,NA
709,-76.683,44.8,206,NA
710,-81.637,31.081,6,NA
711,-98.158,46.858,444,NA
712,-101.53,48.008,620,NA
713,-98.587,47.074,437,NA
714,-110.482,47.635,1019,NA
715,-116.35,51.36,2015,NA
716,-116.313,51.343,2280,NA
717,-94.883,72.017,110,NA
718,-94.767,72.017,130,NA
719,-95.033,72.483,240,NA
720,-95.067,72.583,160,NA
721,-94.383,72.683,150,NA
722,-93.95,72.833,220,NA
723,-122.042,43.65,1465,41
724,-112.217,36.717,2590,NA
725,-107.051,40.024,3165,NA
726,-111.667,38.617,2720,NA
727,-105.5,37.7,2300,NA
728,-111.7,37.95,2653,NA
729,-85.217,73.035,91,NA
730,-144.75,64,343,-36
731,-144.65,63.711,442,-36
732,-68.733,45.042,58,NA
733,-131.76,52.93,650,67
734,-105.45,43.5,1450,NA
735,-108.25,33.867,2069,NA
736,-108.25,33.867,2069,NA
737,-108.3,33.7,2080,NA
738,-92.183,48.183,403,NA
739,-119.625,37.725,1212,NA
740,-91.995,47.924,414,NA
741,-162.2,63.5,15,NA
742,-146.908,64.444,208,-35
743,-146.063,63.029,897,-51
744,-131.9067,52.72,550,59
745,-132.408,53.267,595,61
746,-89.58,39.72,171,NA
747,-88.93,40.65,219,NA
748,-87.65,40.17,198,NA
749,-88.92,39.83,198,NA
750,-88.43,39.42,213,NA
751,-89,38.57,152,NA
752,-89.12,37.75,137,NA
753,-89.97,39.22,168,NA
754,-90.22,39.95,183,NA
755,-90.22,39.67,183,NA
756,-90.17,40.55,198,NA
757,-89.83,37.28,152,NA
758,-90.3,36.92,152,NA
759,-92.28,36.58,244,NA
760,-93.3,37.3,335,NA
761,-93.33,37.88,320,NA
762,-92.63,38.22,244,NA
763,-87.67,37.92,137,NA
764,-88.85,37.67,137,NA
765,-85.73,37.55,221,NA
766,-85.72,37.22,198,NA
767,-85.95,37.15,213,NA
768,-86.1,37.15,213,NA
769,-86.83,36.78,198,NA
770,-87.22,37.32,152,NA
771,-87.47,37.35,122,NA
772,-87.53,37.8,152,NA
773,-87.58,37.6,137,NA
774,-109.425,34,2780,NA
775,-110.833,34.333,2285,NA
776,-149.75,65.867,100,-52
777,-149.75,65.867,100,-52
778,-149.75,65.867,100,-52
779,-149.833,65.883,150,-49
780,-149.917,65.917,200,-49
781,-149.917,65.917,200,-49
782,-149.917,65.917,200,-49
783,-150,65.983,183,-54
784,-150.583,66.417,466,NA
785,-150.617,66.442,450,NA
786,-150.667,66.45,416,NA
787,-150.667,66.45,416,NA
788,-150.667,66.45,416,NA
789,-150.7,66.467,650,NA
790,-150.783,66.517,333,NA
791,-150.783,66.517,333,NA
792,-150.783,66.517,333,NA
793,-150.8,66.55,433,NA
794,-150.75,66.583,533,NA
795,-150.75,66.583,533,NA
796,-150.75,66.583,533,NA
797,-150.7,66.617,366,NA
798,-150.667,66.633,283,NA
799,-150.667,66.633,283,NA
