ID2_W05v1_6,LONDD,LATDD,AbieEast,AbieWest,AcerEast,AcerWest,AlnuEast,AlnuWest,CeltEast,CeltWest,ChAmFlor,ChAmMid,CupXEast,CupXWest,FraxEast,FraxWest,Larix,LarixPse,PicEast,PicWest,PinEast,PinNE,PinSE,PinWest,QuerEast,QuerWest,TsugEast,TsugWest
746,-89.58,39.72,1,,1,,1,,1,,,1,1,,1,,,0,1,,1,1,,,1,,1,0
747,-88.93,40.65,1,,1,,1,,1,,,1,1,,1,,,0,1,,1,1,,,1,,1,0
748,-87.65,40.17,1,,1,,1,,1,,,1,1,,1,,1,0,1,,1,1,,,1,,1,0
749,-88.92,39.83,1,,1,,1,,1,,,1,1,,1,,,0,1,,1,1,,,1,,1,0
750,-88.43,39.42,1,,1,,1,,1,,,1,1,,1,,,0,1,,1,1,,,1,,1,0
751,-89,38.57,1,,1,,1,,1,,,1,1,,1,,,0,1,,1,1,,,1,,1,0
752,-89.12,37.75,,,1,,1,,1,,,1,1,,1,,,0,1,,1,,1,,1,,1,0
753,-89.97,39.22,1,,1,,1,,1,,,1,1,,1,,,0,1,,1,1,,,1,,1,0
754,-90.22,39.95,1,,1,,1,,1,,,1,1,,1,,,0,1,,1,1,,,1,,1,0
755,-90.22,39.67,1,,1,,1,,1,,,1,1,,1,,,0,1,,1,1,,,1,,1,0
756,-90.17,40.55,1,,1,,1,,1,,,1,1,,1,,,0,1,,1,1,,,1,,1,0
757,-89.83,37.28,,,1,,1,,1,,,1,1,,1,,,0,1,,1,,1,,1,,1,0
758,-90.3,36.92,,,1,,1,,1,,,1,1,,1,,,0,1,,1,,1,,1,,1,0
759,-92.28,36.58,,,1,,1,,1,,,1,1,,1,,,0,1,,1,,1,,1,,1,0
760,-93.3,37.3,,,1,,1,,1,,,1,1,,1,,,0,1,,1,,1,,1,,1,0
761,-93.33,37.88,,,1,,1,,1,,,1,1,,1,,,0,1,,1,,1,,1,,1,0
762,-92.63,38.22,,,1,,1,,1,,,1,1,,1,,,0,1,,1,,1,,1,,1,0
763,-87.67,37.92,1,,1,,1,,1,,,1,1,,1,,,0,1,,1,1,1,,1,,1,0
764,-88.85,37.67,,,1,,1,,1,,,1,1,,1,,,0,1,,1,,1,,1,,1,0
765,-85.73,37.55,1,,1,,1,,1,,,1,1,,1,,,0,1,,1,1,,,1,,1,0
766,-85.72,37.22,1,,1,,1,,1,,,1,1,,1,,,0,1,,1,1,1,,1,,1,0
767,-85.95,37.15,1,,1,,1,,1,,,1,1,,1,,,0,1,,1,,1,,1,,1,0
768,-86.1,37.15,1,,1,,1,,1,,,1,1,,1,,,0,1,,1,,1,,1,,1,0
769,-86.83,36.78,1,,1,,1,,1,,,1,1,,1,,,0,1,,1,,1,,1,,1,0
770,-87.22,37.32,1,,1,,1,,1,,,1,1,,1,,,0,1,,1,,1,,1,,1,0
771,-87.47,37.35,1,,1,,1,,1,,,1,1,,1,,,0,1,,1,,1,,1,,1,0
772,-87.53,37.8,1,,1,,1,,1,,,1,1,,1,,,0,1,,1,,1,,1,,1,0
773,-87.58,37.6,1,,1,,1,,1,,,1,1,,1,,,0,1,,1,,1,,1,,1,0
774,-109.425,34,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,1,,1,,1
775,-110.833,34.333,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,1,,1,,1
776,-149.75,65.867,,,,,,1,,,,1,,1,,,1,1,1,,,,,1,,,,1
777,-149.75,65.867,,,,,,1,,,,1,,1,,,1,1,1,,,,,1,,,,1
778,-149.75,65.867,,,,,,1,,,,1,,1,,,1,1,1,,,,,1,,,,1
779,-149.833,65.883,,,,,,1,,,,1,,1,,,1,1,1,,,,,1,,,,1
780,-149.917,65.917,,,,,,1,,,,1,,1,,,1,1,1,,,,,1,,,,1
781,-149.917,65.917,,,,,,1,,,,1,,1,,,1,1,1,,,,,1,,,,1
782,-149.917,65.917,,,,,,1,,,,1,,1,,,1,1,1,,,,,1,,,,1
783,-150,65.983,,,,,,1,,,,1,,1,,,1,1,1,,,,,1,,,,1
