"entitynum","sitenum","sigle"
914,914,"Mbz-03_S1"
915,915,"Miombo_1"
916,916,"NAMIB-A"
917,917,"NAMIB-B"
918,918,"NAMIB-C"
919,919,"NAMIB-D"
920,920,"NAMIB-E"
921,921,"NAMIB-F"
922,922,"NAMIB-G"
923,923,"NAMIB-H"
924,924,"NAMIB-I"
925,925,"NAMIB-J"
926,926,"NAMIB-K"
927,927,"NAMIB-M"
928,928,"NAMIB-N"
929,929,"NAMIB-O"
930,930,"NAMIB-P"
931,931,"NAMIB-Q"
932,932,"NAMIB-R"
933,933,"NCC10186"
934,934,"NCC10286"
935,935,"NCC10386"
936,936,"NCC10486"
937,937,"NCC10585"
938,938,"NCC10586"
939,939,"NCC10685"
940,940,"NCC10686"
941,941,"NCC10785"
942,942,"NCC10885"
943,943,"NCC10985"
944,944,"NCC11085"
945,945,"NCC11185"
946,946,"NCC11285"
947,947,"NCC30186"
948,948,"NCC30286"
949,949,"NCC30386"
950,950,"NCC30486"
951,951,"NCC30585"
952,952,"NCC30586"
953,953,"NCC30685"
954,954,"NCC30785"
955,955,"NCC30885"
956,956,"NCC30985"
957,957,"NCC31085"
958,958,"NCC31185"
959,959,"NCC31285"
960,960,"NG_1"
961,961,"NG_2"
962,962,"NG_3"
963,963,"NG_5"
964,964,"NG_6"
965,965,"NG_7"
966,966,"NG_8"
967,967,"NG_9"
968,968,"Ng-03_S1"
969,969,"Ng-03_S2"
970,970,"Ng-03_S3"
971,971,"Ng-03_SI"
972,972,"Ng-03_SII"
973,973,"Ng-03_SIII"
974,974,"Ng-03_SIV"
975,975,"Ng-03_SV"
976,976,"Ng-03_V1"
977,977,"NIA_PH_sum"
978,978,"NIA_PHdec97"
979,979,"NIA_PHfeb98"
980,980,"NIA_PHjan98"
981,981,"NIA_PHmar98"
982,982,"NIA_PHnov97"
983,983,"NIA_PHoct97"
984,984,"NIA01"
985,985,"NIA02"
986,986,"NIA03"
987,987,"NIA04"
988,988,"NIA05"
989,989,"NIA06"
990,990,"NIA07"
991,991,"NIA08"
992,992,"NIA09"
993,993,"NIA10"
994,994,"NIA11"
995,995,"NIA12"
996,996,"NIA13"
997,997,"NIA14"
998,998,"NIA15"
999,999,"NIA16"
1000,1000,"NIA17"
1001,1001,"NIA18"
1002,1002,"NIA19"
1003,1003,"NIA20"
1004,1004,"NIA21"
1005,1005,"NIA22"
1006,1006,"NIA23"
1007,1007,"NIA24"
1008,1008,"NIA25"
1009,1009,"NIA26"
1010,1010,"NIA27"
1011,1011,"NIA28"
1012,1012,"NIA29"
1013,1013,"NIA30"
1014,1014,"NIA31"
1015,1015,"NIA32"
1016,1016,"NIA33"
1017,1017,"NIA34"
1018,1018,"NIA35"
1019,1019,"NIA36"
1020,1020,"NIA37"
1021,1021,"NIA38"
1022,1022,"NIA39"
1023,1023,"NIA40"
1024,1024,"NIA41"
1025,1025,"Niaouli"
1026,1026,"Nsukka_sum"
1027,1027,"Nsukka1"
1028,1028,"Nsukka2"
1029,1029,"Nsukka3"
1030,1030,"Nsukka4"
1031,1031,"Nsukka5"
1032,1032,"Nsukka6"
1033,1033,"Nyamusingire"
1034,1034,"NyikaFr"
1035,1035,"NyikaNr"
1036,1036,"Omo_CR100_8"
1037,1037,"OoFe80-1"
1038,1038,"OoFe80-2"
1039,1039,"OoFe80-3"
1040,1040,"Ouidah"
1041,1041,"P_2"
1042,1042,"RaK-01"
1043,1043,"RaK-02"
1044,1044,"RaK-03"
1045,1045,"RaK-04"
1046,1046,"RaK-05"
1047,1047,"RaK-06"
1048,1048,"RaK-07"
1049,1049,"Rak-08"
1050,1050,"RARL31"
1051,1051,"RARL32"
1052,1052,"RARL33"
1053,1053,"RARL34"
1054,1054,"RARL35"
1055,1055,"RARL36"
1056,1056,"RARL37"
1057,1057,"RARL38"
1058,1058,"RARL39"
1059,1059,"RARL40"
1060,1060,"RARL41"
1061,1061,"RARL42"
1062,1062,"RARL43"
1063,1063,"RARL44"
1064,1064,"RARL45"
1065,1065,"RARL46"
1066,1066,"RARL47"
1067,1067,"RB_1"
1068,1068,"RB_10"
1069,1069,"RB_11"
1070,1070,"RB_2"
1071,1071,"RB_4"
1072,1072,"RB_676"
1073,1073,"RB_7"
1074,1074,"RBO-159"
1075,1075,"RBO-525"
1076,1076,"REU17STK"
1077,1077,"REU20STK"
1078,1078,"REU22STK"
1079,1079,"REU46STK"
1080,1080,"REU49STK"
1081,1081,"REU61STK"
1082,1082,"REU62STK"
1083,1083,"REU68STK"
1084,1084,"REU69STK"
1085,1085,"REU72STK"
1086,1086,"REU76STK"
1087,1087,"REU77STK"
1088,1088,"REU78STK"
1089,1089,"REU79STK"
1090,1090,"REU80STK"
1091,1091,"REU81STK"
1092,1092,"REU82STK"
1093,1093,"Rgw_10"
1094,1094,"Rgw_11"
1095,1095,"Rgw_12"
1096,1096,"Rgw_13"
1097,1097,"Rgw_14"
1098,1098,"Rgw_15"
1099,1099,"Rgw_16"
1100,1100,"Rgw_17"
1101,1101,"Rgw_18"
