"sitenum","sitename","latdd","londd","altitude","poldiv1"
1200,"Safr_103",-22.57,28.62,416,"ZAF"
1201,"Safr_104",-22.59,28.54,416,"ZAF"
1202,"Safr_105",-27.74,31.32,81,"ZAF"
1203,"Safr_11",-31.15,25.06,1262,"ZAF"
1204,"Safr_12",-28.30,17.10,428,"ZAF"
1205,"Safr_13",-31.15,25.06,1262,"ZAF"
1206,"Safr_14",-31.14,25.90,1612,"ZAF"
1207,"Safr_15",-31.14,25.90,1612,"ZAF"
1208,"Safr_16",-30.98,25.73,0,"ZAF"
1209,"Safr_17",-30.98,25.73,0,"ZAF"
1210,"Safr_18",-29.01,26.25,1320,"ZAF"
1211,"Safr_19",-28.30,17.10,428,"ZAF"
1212,"Safr_20",-28.34,17.17,223,"ZAF"
1213,"Safr_21",-28.34,17.17,223,"ZAF"
1214,"Safr_22",-28.34,17.17,223,"ZAF"
1215,"Safr_23",-29.00,19.43,761,"ZAF"
1216,"Safr_24",-29.34,18.68,792,"ZAF"
1217,"Safr_25",-29.34,18.68,792,"ZAF"
1218,"Safr_26",-28.95,31.77,161,"ZAF"
1219,"Safr_27",-29.00,31.72,355,"ZAF"
1220,"Safr_28",-29.00,31.72,355,"ZAF"
1221,"Safr_29",-29.00,31.72,355,"ZAF"
1222,"Safr_30",-29.00,31.72,355,"ZAF"
1223,"Safr_31",-29.00,31.72,355,"ZAF"
1224,"Safr_32",-28.78,19.32,619,"ZAF"
1225,"Safr_33",-31.14,25.06,1268,"ZAF"
1226,"Safr_34",-31.15,25.06,1262,"ZAF"
1227,"Safr_35",-31.14,25.01,1233,"ZAF"
1228,"Safr_36",-31.69,29.39,161,"ZAF"
1229,"Safr_37",-29.81,31.04,161,"ZAF"
1230,"Safr_38",-31.69,29.39,161,"ZAF"
1231,"Safr_39",-31.69,29.39,161,"ZAF"
1232,"Safr_40",-32.15,19.03,1203,"ZAF"
1233,"Safr_41",-32.27,19.12,966,"ZAF"
1234,"Safr_42",-32.13,19.00,1518,"ZAF"
1235,"Safr_43",-32.09,19.06,1482,"ZAF"
1236,"Safr_44",-29.53,28.34,220,"ZAF"
1237,"Safr_45",-29.21,27.48,129,"ZAF"
1238,"Safr_46",-28.52,28.40,148,"ZAF"
1239,"Safr_47",-24.16,29.23,140,"ZAF"
1240,"Safr_48",-31.83,24.85,140,"ZAF"
1241,"Safr_49",-28.52,28.46,136,"ZAF"
1242,"Safr_50",-28.53,28.46,134,"ZAF"
1243,"Safr_51",-28.53,28.46,132,"ZAF"
1244,"Safr_52",-23.84,29.92,117,"ZAF"
1245,"Safr_53",-24.23,28.38,124,"ZAF"
1246,"Safr_54",-24.28,28.04,124,"ZAF"
1247,"Safr_55",-28.73,28.89,214,"ZAF"
1248,"Safr_56",-24.30,28.49,117,"ZAF"
1249,"Safr_57",-26.01,27.76,106,"ZAF"
1250,"Safr_58",-26.01,27.76,106,"ZAF"
1251,"Safr_59",-26.02,27.73,106,"ZAF"
1252,"Safr_60",-26.02,27.73,106,"ZAF"
1253,"Safr_61",-23.90,29.89,93,"ZAF"
1254,"Safr_62",-31.84,24.50,93,"ZAF"
1255,"Safr_63",-31.49,24.26,106,"ZAF"
1256,"Safr_64",-31.49,24.26,106,"ZAF"
1257,"Safr_65",-31.47,24.27,106,"ZAF"
1258,"Safr_66",-28.68,28.90,177,"ZAF"
1259,"Safr_67",-25.88,28.28,102,"ZAF"
1260,"Safr_68",-30.87,25.81,88,"ZAF"
1261,"Safr_69",-29.18,25.75,82,"ZAF"
1262,"Safr_70",-29.18,25.75,82,"ZAF"
1263,"Safr_71",-29.19,25.74,82,"ZAF"
1264,"Safr_72",-29.19,25.74,82,"ZAF"
1265,"Safr_73",-29.18,25.74,82,"ZAF"
1266,"Safr_75",-24.81,28.33,86,"ZAF"
1267,"Safr_76",-24.95,28.17,72,"ZAF"
1268,"Safr_77",-28.51,28.61,174,"ZAF"
1269,"Safr_78",-24.34,28.85,68,"ZAF"
1270,"Safr_79",-25.45,28.27,68,"ZAF"
1271,"Safr_80",-24.40,28.74,62,"ZAF"
1272,"Safr_81",-28.83,24.83,60,"ZAF"
1273,"Safr_82",-28.84,24.82,60,"ZAF"
1274,"Safr_83",-28.63,24.66,60,"ZAF"
1275,"Safr_84",-28.71,24.80,60,"ZAF"
1276,"Safr_85",-24.42,28.75,60,"ZAF"
1277,"Safr_86",-24.42,28.75,60,"ZAF"
1278,"Safr_87",-27.60,24.60,74,"ZAF"
1279,"Safr_88",-28.67,28.92,164,"ZAF"
1280,"Safr_89",-25.25,28.31,60,"ZAF"
1281,"Safr_90",-28.67,28.92,156,"ZAF"
1282,"Safr_91",-28.50,28.39,156,"ZAF"
1283,"Safr_92",-28.50,28.41,153,"ZAF"
1284,"Safr_93",-29.21,27.48,129,"ZAF"
1285,"Safr_94",-22.99,29.36,60,"ZAF"
1286,"Safr_95",-32.65,26.88,434,"ZAF"
1287,"Safr_96",-23.50,30.20,391,"ZAF"
1288,"Safr_97",-23.50,30.20,391,"ZAF"
1289,"Safr_98",-32.69,26.87,424,"ZAF"
1290,"Safr_99",-22.97,29.38,445,"ZAF"
1291,"Saza",-8.42,33.12,70,"TZA"
1292,"Ssezibwa_river",-0.66,32.86,0,"UGA"
1293,"STC80MJ3",21.00,17.00,201,"TCD"
1294,"SUD1-1",19.66,33.11,338,"SDN"
1295,"SUD12-2A",17.41,33.91,367,"SDN"
1296,"SUD17-2A",16.33,32.91,413,"SDN"
1297,"SUD19-2B",15.16,32.58,391,"SDN"
1298,"SUD20-2B",14.75,32.50,394,"SDN"
1299,"SUD21-2B",14.50,32.25,402,"SDN"
1300,"SUD25-3B",13.75,32.50,394,"SDN"
1301,"SUD3-1",19.08,33.50,357,"SDN"
1302,"SUD30-3B",13.16,32.66,402,"SDN"
1303,"SUD5-1",18.66,33.66,357,"SDN"
1304,"SUD9-2A",17.83,34.16,368,"SDN"
1305,"Sug-N-S4",2.06,36.41,337,"KEN"
1306,"Sug-S1",1.65,36.28,309,"KEN"
1307,"Sug-S2",1.60,36.28,320,"KEN"
1308,"Sug-S3",1.60,36.28,320,"KEN"
1309,"TARL10",-2.41,36.00,384,"TZA"
1310,"TARL11",-2.93,35.81,183,"TZA"
1311,"TARL12",-2.96,36.50,100,"TZA"
1312,"TARL13",-3.26,35.58,135,"TZA"
1313,"TARL14",-3.18,35.51,135,"TZA"
1314,"TARL15",-3.23,35.53,135,"TZA"
1315,"TARL16",-3.88,35.86,458,"TZA"
1316,"TARL17",-4.31,35.10,130,"TZA"
1317,"TARL18",-4.33,35.33,111,"TZA"
1318,"TARL19",-4.36,35.08,121,"TZA"
1319,"TARL20",-4.56,34.91,114,"TZA"
1320,"TARL21",-4.38,35.08,121,"TZA"
1321,"TARL22",-4.66,34.66,98,"TZA"
1322,"TARL23",-4.81,34.73,107,"TZA"
1323,"TARL24",-4.85,34.73,103,"TZA"
1324,"TARL8",-3.26,36.88,119,"TZA"
1325,"TARL9",-3.23,36.86,145,"TZA"
1326,"Tc_Dj_A",12.10,15.03,298,"TCD"
1327,"Tc_Dj_B",12.10,15.03,298,"TCD"
1328,"Tc_Dj_C",12.10,15.03,298,"TCD"
1329,"Tc_Dj_D",12.10,15.03,298,"TCD"
1330,"Tc_Dj_E",12.10,15.03,298,"TCD"
1331,"Tc_Dj_F",12.10,15.03,298,"TCD"
1332,"Tc_Dj_G",12.10,15.03,298,"TCD"
1333,"Tc_Dj_H",12.10,15.03,298,"TCD"
1334,"Tc_Dj_I",12.10,15.03,298,"TCD"
1335,"Tc_Dj_J",12.10,15.03,298,"TCD"
1336,"Tc_Dj_K",12.10,15.03,298,"TCD"
1337,"Tc_Dj_L",12.10,15.03,298,"TCD"
1338,"Tc_Dj_Tot",12.10,15.03,298,"TCD"
1339,"Tc80MJ-A",12.41,15.08,295,"TCD"
1340,"Tc80MJ-B",12.76,14.75,291,"TCD"
1341,"Tc80MJ-C",13.58,14.78,309,"TCD"
1342,"Tc80MJ-D",13.83,14.70,299,"TCD"
1343,"Tc80MJ1",13.00,14.51,288,"TCD"
1344,"Tc80MJ2",13.03,14.63,288,"TCD"
1345,"Tc80MJ3",13.41,14.76,279,"TCD"
1346,"Tc80MJ4",13.50,14.25,0,"TCD"
1347,"Tc80MJ5",13.38,14.08,0,"TCD"
1348,"Tc80MJ6",13.70,13.41,283,"TCD"
1349,"Tc80MJ7",14.26,13.58,277,"TCD"
1350,"Tc80MJ8",14.33,13.16,279,"TCD"
1351,"Tc80MJCh",12.50,14.90,289,"TCD"
1352,"Tilora",-10.31,33.95,32,"MWI"
1353,"TOG01",6.25,1.61,429,"TGO"
1354,"TOG02",6.25,1.61,429,"TGO"
1355,"TOG03",6.25,1.60,429,"TGO"
1356,"TOG04",6.26,1.60,429,"TGO"
1357,"TOG05",6.20,1.48,355,"TGO"
1358,"TOG06",6.20,1.48,379,"TGO"
1359,"TOG07",6.20,1.48,379,"TGO"
1360,"TOG08",6.20,1.25,190,"TGO"
1361,"TOG09",6.20,1.25,190,"TGO"
1362,"TOG10",6.21,1.21,292,"TGO"
1363,"TOG100",9.63,1.01,212,"TGO"
1364,"TOG101",9.70,0.95,204,"TGO"
1365,"TOG102",9.70,0.95,202,"TGO"
1366,"TOG103",9.86,1.08,288,"TGO"
1367,"TOG104",9.91,1.05,246,"TGO"
1368,"TOG105",10.00,1.11,154,"TGO"
1369,"TOG106",10.15,1.06,182,"TGO"
1370,"TOG107",10.18,1.03,138,"TGO"
1371,"TOG108",10.18,0.96,105,"TGO"
1372,"TOG109",10.35,0.56,69,"TGO"
1373,"TOG11",6.31,1.01,370,"TGO"
1374,"TOG110",10.40,0.71,116,"TGO"
1375,"TOG111",10.55,0.30,115,"TGO"
1376,"TOG112",10.63,0.20,191,"TGO"
1377,"TOG113",10.68,0.53,120,"TGO"
1378,"TOG114",10.70,0.11,197,"TGO"
1379,"TOG115",10.70,0.11,197,"TGO"
1380,"TOG116",10.70,0.11,197,"TGO"
1381,"TOG117",10.70,0.11,197,"TGO"
1382,"TOG118",10.71,0.55,146,"TGO"
1383,"TOG119",10.73,0.20,296,"TGO"
1384,"TOG12",6.33,1.61,173,"TGO"
1385,"TOG120",10.88,0.71,120,"TGO"
1386,"TOG121",10.88,0.61,131,"TGO"
1387,"TOG122",10.93,0.28,216,"TGO"
1388,"TOG123",10.96,0.40,184,"TGO"
1389,"TOG124",11.00,0.18,212,"TGO"
1390,"TOG125",11.01,0.18,212,"TGO"
1391,"TOG126",6.28,1.81,386,"TGO"
1392,"TOG127",6.28,1.81,387,"TGO"
1393,"TOG129",6.28,1.75,386,"TGO"
1394,"TOG13",6.38,1.20,425,"TGO"
1395,"TOG130",6.28,1.75,386,"TGO"
1396,"TOG131",6.28,1.75,386,"TGO"
1397,"TOG132",6.28,1.71,386,"TGO"
1398,"TOG133",6.22,1.38,394,"TGO"
1399,"TOG134",6.25,1.65,386,"TGO"
1400,"TOG135",6.26,1.75,386,"TGO"
1401,"TOG136",6.26,1.75,386,"TGO"
1402,"TOG137",6.26,1.75,386,"TGO"
1403,"TOG138",6.26,1.75,386,"TGO"
1404,"TOG139",6.26,1.75,386,"TGO"
1405,"TOG14",6.43,1.21,448,"TGO"
1406,"TOG140",6.26,1.75,386,"TGO"
1407,"TOG141",6.75,1.15,455,"TGO"
1408,"TOG142",6.75,1.15,455,"TGO"
1409,"TOG143",6.75,1.15,455,"TGO"
1410,"TOG144",6.75,1.15,455,"TGO"
1411,"TOG145",6.75,1.15,455,"TGO"
1412,"TOG146",6.75,1.15,455,"TGO"
1413,"TOG147",6.75,1.15,455,"TGO"
1414,"TOG148",6.75,1.15,455,"TGO"
1415,"TOG149",6.26,1.68,386,"TGO"
1416,"TOG15",6.45,1.26,390,"TGO"
1417,"TOG150",6.26,1.68,386,"TGO"
1418,"TOG151",6.26,1.68,386,"TGO"
